['caJtNKjrDj', ['NHMnzCiNFA', ['tB', ['NHMnzCiNFA', ['SKCepHLwR'], ['bRLt'], ['NnHRAj']], ['NHMnzCiNFA', ['P'], ['eLifKxuGUc'], ['GQtlVFFvd']], ['caJtNKjrDj', ['caJtNKjrDj'], ['caJtNKjrDj']], ['LhlJem', ['hiBem'], ['hiBem']], ['bRLt', ['SKCepHLwR'], ['KTLlufIf']]], ['bRLt', ['P', ['yItOcdFQWw']]]]]
{'WG': ['JuJDvLqHGv'], 'bRLt': ['P', 'uFfaEPZzIY', 'JEjiJyORc', 'QcnUwBY', 'hCETN', 'XwYWyppS', 'nZgcIc', 'iaG', 'ZUW', 'ZEDoGCKapv', 'FsA', 'es'], 'caJtNKjrDj': ['QL', 'paU', 'lTYjr', 'O', 'ghNGvKU', 'iTKRCQdK', 'hmGSyGnnrf', 'LWPuoVdnY', 'GVsZPe'], 'NHMnzCiNFA': ['MS', 'kot', 'RPV', 'TX', 'nUYsiZDAY', 'QkWOyrlyI', 'TFL', 'oZJsrGgSsh', 'BiUTNPKB', 'mmnk', 'jYZi'], 'P': ['QqFyEPdLf', 'irgON', 'OZSa', 'FlH', 'ffZF'], 'GQtlVFFvd': ['X', 'uGvv', 'sCWJP', 'hNyvlao', 'JwSUrta', 'KqSNS', 'ceoY', 'DsZXE', 'M', 'WELlDFi'], 'hiBem': ['iG', 'MpZe'], 'KTLlufIf': ['ftn', 'BbUpbU', 'wtkrvr', 'jSeCAL'], 'NnHRAj': ['lTE', 'kklYdRJIi', 'mJTQePr'], 'SKCepHLwR': ['hQgtn', 'rXnta', 'r', 'ZarFBQSjH', 'yLEfYY', 'NbjARuUbtv', 'FSoO'], 'iKb': ['pgNHP', 'NSwpFBT', 'ozCmf', 'JGkYGZynUz', 'adccCZbAvK', 'JNgw', 'volnBl', 'WlH', 'Fz'], 'LhlJem': ['oGd', 'wzJKfrZ', 'nmZQSPS', 'HrhAPsd', 'ccqHIPl', 'FOwxxh', 'VIzZwDNR', 'ha', 'DWt', 'hEwZkI', 'orxHOuiOxB', 'vJWouUtk'], 'FupUTqPU': ['PI', 'yNpEBv', 'EmCbavQPx', 'nHEh', 'KoNU', 'tS', 'DLgLYgv', 'DjPSY', 'cSzFTLTiGf', 'oM', 'mXUMjdZfn', 'GKn', 'yDM', 'hHBCl'], 'yItOcdFQWw': ['ZQqliB', 'UVVbsrXK', 'hQRIG', 'BzVw', 'znhEOHme', 'AgxhPVeXAU', 'ioAik', 'fdHEJuO', 'Ic', 'zpOcyOeHlh', 'JsZKi', 'nmvpn', 'UoDZZQuGj', 'U'], 'tB': ['VXvfW', 'jIns', 'KbtJufoiox', 'hPNxUMUHM', 'MoBcSefDff', 'ZyJvS', 'lYoA'], 'eLifKxuGUc': ['prou', 'B', 'Y', 'KlhfZiWTD', 'i', 'EYmX', 'kEQ', 'lnuYYwKHF', 'MPMqDgRhiC', 'kvzSIjK', 'LGAgofl']}
100
['ylEFYY nZGciC KKlYdRJii fLh LnUyyWKhf M pau gHNgvKU iG MPzE R ftn BZVW', True]
['NBjArUUBtv hcetN mjTQEpR QQFyepDlF kvZsijk kQSns gvSZPe lWPuOVdny ig iG rxNta JSeCal znheOhME', True]
['fSoo iAg LtE FFZF eymX weLLdFi iTKrCqDK lTYjR iG MPZe RXnTA wTkRVR hQRig', True]
['ZArFbQsjH NzGCIc mjTQEpR OzSa Y x GHNgVkU PAu MpZE ig FSOo FTn znheohmE', True]
['i YleFyy rxnTA JNgw LtYJr ha uVvbsrXK ProU fDHEjuO YlefyY B wZJKfRZ WeLlDFi U jwSUrta KBTjUfoIoX hA', False]
['ZARFbQSjH zeDogCkapv lte QQfyepdlf eYMx m O O IG mpzE FSoO bBuPBu UVvbSrxK', True]
['ZarFbQSJh jejIJYoRc Lte IrgoN y M pAU Ql mpze ig FsoO BBUPBU JsZkI', True]
['FZ UFfAepzZIy VolNBl KEQ NMZQSpS IG ic paU KONU', False]
['heWzKI FdHejUO kvZsijk hqgTN kVzsIJK lNUyYwkhf Es kKLYDRJII FDHeJUO Ql UffaepzzIy pau hPNxUmUhM OzjSRggsSh UODZzQuGJ qQfyEpDLF ceOy', False]
['NbJaRuuBTv es LtE FFzf PROu CeOy gHNGvKu PaU Ig MPZe nbjaRuUbtv FTN AGXhPveXaU', True]
['FsoO hceTN kKlYdRJii FFZf I X gHngVKu ItkrcQdK mpZe MpZE FSOO bbupbU Nmvpn', True]
['fSOo ES LtE qQFYePdLf lnuYyWkHf uGVV lWpuoVDnY gVsZpE Mpze mPze yLEFyy JseCAL bZVW', True]
['NbjARuubTv UffAEpzZiY LTe FfZF PRou SCWJp O GvSZPe MpZe mPzE r WTkrvr uvVbsRXk', True]
['RXNtA qcnUwBy KklYDRjii iRgOn lGagOFl SCwjp Gvszpe lTyjR Ig IG zaRfBQsJh BBUpBU znheOhmE', True]
['nmzQsps hPnxUMuHm KBtJuFOIOx o Ftn FoWxxH hHbCL HnYVLaO ghNgvkU Bbupbu QqFyePDLf NmVpN konu ViZZwDnR jszki UOdZzQuGj', False]
['YleFyY hCETn MJtqepR FlH lGagofL kqSNS lTYjr HmgsygNNRF MpzE mPZE r WTkrVR ZPoCyOEhlh', True]
['ZarFBQSJH Es KkLYDRJII qQFyepDLf LgagOFl DSzXe ghngVKu ltYJR ig mpZE YLEFYy JseCAl HQRIg', True]
['NbJArUUbtV ZEDOGcKApV MjTQEPr QQFyePdlF I welLdfI GvsZPE LtYJR Ig MPzE RxNta BBUpbu hqrIG', True]
['fSOO HcEtN mjTQePr ffzf kLHfZIWTd hNyVlao O Pau IG IG rxnta FTN Ic', True]
['YlEFyy QCNUWBy ltE irgON B hNyVlAo qL ltyJR MpZE IG hqGTN WtKrVr ZnHEohMe', True]
['hQGTn iaG mJTqEpR ozsa LgaGofl JWSurta LTyjR LwpuOVdNy iG iG r wtKrvR aGxHpvEXAu', True]
['HQgtN QCnuwbY lTe iRGon lNuYYWkhF Scwjp LtyJR GvszPe Ig MPZE HQGtn JSECaL UVvBsrxK', True]
['UffaEpZziy kONu ZPoCYoEhlH ceoY nbJaruUBTv zaRFBQSJh emcBAVqpx GHnGvku jgkYgzYnUZ KqSNs volNbL fLh', False]
['lTyJr DWt lnUyywKhf KLhFZIwtd NswpfbT Zuw HCetn rpv ogD kOT jsEcAL bIUtnPKB jujdVlQhgv CeoY GVSzpe jsECAL', False]
['FSoO NZgCiC kKlydrJIi QQFyePDLf b kqSNs O ql Ig iG R WTkrvr U', True]
['YlEFYy Iag MjTQepR iRgon I wEllDfi lwpUOvdNY ql iG Ig HQgTN jSEcAl fDhEJuO', True]
['ylEFyy ZUW lTe Ozsa Y JwSUrta hmGsYgnnRf ltyJr Ig MpZE NBJARUUBtV ftN zNheoHMe', True]
['r JeJIJyORC KkLyDrjIi QQfYepDlf b KqSNS Pau iTKRcqDK ig ig fsoO bbUPbU fDHeJuO', True]
['kBtJuFOIoX UODZzquGj agxhPvexAu oZcmF KvzSIJK zqqLib U eYmx JYZi ZnheoHmE XwywyPPS fOWxxh kBtjUfoIoX', False]
['QL dlGLYGV PaU O ORxhouIoXb IrGon WZjkFrz pau itkrcQDK hmgSygnnRF jgkyGZYnuz ZpOCYoeHlh JSzKi DwT JiNS PGnhP', False]
['ZarFbQSJh pGNHP r ZnhEOhME ITKRCqDK Y PGnhp yleFyy hnYvlAO YNPEBv om', False]
['YlefYy xwyWyPPs mjTqEpr qQfyepdlf i HnYVlao O lwPuoVdnY MPzE ig R bBuPBU bZvw', True]
['ZArfBQSJH XWyWYPPS lte qQfYEpDlf EymX UgVV lwPUovDNy gVszpE MpzE mpZe rxNtA bbuPBu zpoCyOEhlh', True]
['yLEfYY qCNuwBy Lte fLH eymx welLDFI LwPUOvdNy lTyJR iG mPzE r FtN U', True]
['RxNTa IaG MJTQEPr FfZF I CeOY iTKRCqDK gHNGvku Mpze ig zARFbqSJH FtN iOAiK', True]
['pgnHp KQsNS YDm ftn oGd zQqlIb nUYSiZdAy HCetN mxUMjdZFn UOdzZQUgJ JWsUrTA JsECaL NzGcIC KbtJufoIOx FoWxXH', False]
['nBJAruUbTV P kKlYdrjIi FlH b UGvv LTyjr gvszPE MpZE IG HqgTn fTN Ic', True]
['YleFYY HCETn mJTQePR fFzf KvzsijK UgVV O ITkrCQDk IG Ig R BbupBu U', True]
['FSoO fSA kKLYDRJii flH klhfziwTD dszXe gHngvKu lwpuoVDnY MPZe mpzE HQgtN FtN BZvw', True]
['RXNTA qkWoyrLYi vJWouUTK ZedoGcKApV ugvv lwpuOVdnY KoNu YleFyY hQGtN eMcBavQPx y', False]
['fSOo ZuW Lte ozSa LnUYyWkHf M o itKrCQdk IG IG YLeFyY Ftn znHeOHme', True]
['NbJARUuBTV JEJIjYOrc lte QQFYEPDLF KEq scwJP ItKrcQdk gVszpE mpzE IG r WtKrVR ZqqLiB', True]
['ZaRFBQSJh uFFaepzzIY MjtQePR Flh keQ SCWJP lWPuoVDNy LTyjR mPzE mPzE fsoo BbuPbU iC', True]
['rXNta p Lte fLh KVZsijk WellDfi gVSZpe GHNgVKU mPzE iG rxnTA JSeCAL agXhPvEXAU', True]
['JINS bbUpbu eS nSwPFbT LTyJr klhFZIwTD jWsURTa Volnbl hRhAPsD cEOY O ITkrCqdK nzgCIC MOBcSEFDFf yNpEbv', False]
['NUYSIzDAY kkLyDRjIi FFzf NbJaruUBtv Ha MxUMjDZfN HRhaPSD HRHaPsD vIzZWDnR', False]
['ZarfbQsJh p KklYdrJII ffZf b WelldFi gVSZPE ltyjr ig mpzE rxNta JSECaL jszKi', True]
['NbJARuUBtV QcnUWBY kklydRJiI fFZF pRou cEoy O o mpze IG FsOO fTn u', True]
['ylefYy jEjiJyorC lTe FLH kEQ ScWjP iTKrcQDk PAu ig mPzE yLEfyy bbUPBU zNheohmE', True]
['YlEfYy jeJiJYorc ltE OzSa I m GVSZPE PAU mPZE IG r BbUPBU zQQLib', True]
['ylEfYY p LtE qqfyePdlf eYmx M PaU hmgSyGnNRF MpZe MPZe YlEFYY ftn ZNheOHMe', True]
['nbjAruUbtv HcETN kkLyDrJii qqFyePDlF Y kqsNs hmGSygNNRF o Ig MPZe ZaRfBQSJH bbupbU U', True]
['nbjARUubtv qCnUwBy lte qQFyePdLf Eymx JWSuRtA GvszpE gVsZpe IG mPze RxNtA BbUpbU zPoCYoeHLh', True]
['r XwYwYPpS KkLyDRJIi ozsA KEQ ScwJP O QL ig mpzE HQGtn FTN nMVPn', True]
['HQgtN JEJiJYORC mJtqEpr IRgOn KeQ X lTyjr lTYjr ig Ig Fsoo jsECAl JSzki', True]
['HQGtN fSa lte FfZf klHFzIWtd cEoy ItKrCQDk GhnGVKu Ig MPZe YLEFyY WTKRVR NmVPN', True]
['IOaik nmvpn nUYSIzDAy KklYDrJii fsA mJTqEPR Flh kONu ZqqliB HA ms KLHfzIWtD jINs', False]
['VXvfw EyMx zQQliB Om kOnu Fsa OzjsRGgsSh fsa hEWZKi HA MxuMjDZfn XWyWYPps', False]
['NbJaRUUbTV jEJiJYoRC KkLyDRJii OzSA KlHfZIwtD CEOY pAu o ig Mpze YLeFYy fTN ioAIK', True]
['MpZe hRhApsD hNYvLAo NzGcIc biuTNpkb ms LTyJR koNU I', False]
['o WElLdfI QCnUWby OM zPOcYOeHlH ZnHEOhMe lyoA fSa vXvfw x Ic GhnGVKU YlefyY KVZSIjk eS WLH LYOA', False]
['FSOo jeJIjYOrc mJTqepR FLH kEQ jwsUrTA ltYjR gvSzPE Ig ig FsOO FTn ic', True]
['HqgTN UfFaePZZiY MjTQEPR qQfyePdlf prou KqsnS pAu gHNgVKu mPzE iG RXnTA wtkrVR u', True]
['ylEfyy NZgCiC Lte irGOn klHFziWTD kQsNS HMGSYgnNRF gHNgvKU Mpze mPzE zaRfBQSJh bBupbU ZqQlIB', True]
['UODZZQUgJ nZGciC tx iG Om AGxhPvExAU XWYWyPPS bZvw DlGlyGv HqGTN VOlnbl fSoO yleFyY KVZSijk', False]
['nBJaRUubTv es LTe fFZF EyMx M o hmGSYgnnrf iG MPZe ZArFBQsjH bBuPBU HQrIG', True]
['PgNHP qCnUWbY IG VIzzwdnR FLH djpSy UodZZQUGj fowxXh qQfyepDlf qQFyepDLf nSwPFbT', False]
['ZarFBQSjH ZedOgCkapV mjtQepR iRgon KEq SCwJp gHNGvKU GVSzPe IG mPZe R WTKrvR Bzvw', True]
['hqGtn eS Lte qqFyEpdlF PrOU Dszxe GVSzpE GhnGvkU mPZE IG r JSecaL ZQQLIb', True]
['pi VjwoUUtK HCetn vXvFw mPmqdGrHIc dsZxE UVVbSrXk scwJP KVZsIJK fsA UfFAepZZIy kVZsiJk ylEfYy', False]
['prOU NuYsIzdAy lwpuOvdNY Ql M pI wElldfI wtKRvr LgAGoFl QqFyepdLf hRHAPsd dJpsY', False]
['rxnTa HCEtn MJTQepr qQfYEPdlF keQ m PAU pau ig Ig rxnTA BbupbU IoAIk', True]
['RXNtA Zuw KKlYDRjIi FfzF PROU ugvv HmgsyGnnRF GhNgVku mpze IG HqGtN BbUpbu ZpOcYoeHlh', True]
['biUTNPkb hMGSYGnnrf FOwXXh sCWJP zqQLIb FlH PROU KbtJUfOiOX ZNheoHMe mPMQDgrhIC IOaIK HrhAPsD Scwjp nHEh UOdZzqUgj tX', False]
['kEq MPzE JgKyGZYnUZ ZqQlIB tfL hQgTn P zQQLIb y PI YdM YNPEbv gHNGvkU', False]
['ZARFBqsJH FSa mjtQEPR fLH lgagoFl DSZxE qL lWPuOvDNy IG mpzE hQGtN WtKRvr hQRiG', True]
['WelLDFi y bzVW sCWJP JiNs jNgW vXVFw iG gVSZpE OZjSRgGssh', False]
['Fsoo Es KKLydRJiI FLH I JwsurTA gVSzPE gHNgvkU MpZE ig r JSECaL aGXHpvExAU', True]
['oZjSRggSsh IOaik DSZxe PROU RxNta lWpuoVdnY hceTN PAu ITkrcqDk TS vxVfW FoWXXH IrGON GHngvKu ItkrcQdK zeDoGCKapv pGnhP', False]
