['Jwo', ['Gd', ['LyOwWjO', ['Jwo']]], ['JHFmpZ', ['Gd', ['JHFmpZ'], ['SXzrkKFFix'], ['SXzrkKFFix'], ['SXzrkKFFix'], ['RTUowB']], ['bK', ['Gd'], ['JHFmpZ']], ['SXzrkKFFix', ['Jwo'], ['RTUowB'], ['RTUowB']], ['LyOwWjO', ['Gd'], ['JHFmpZ']], ['sopCjha', ['RTUowB'], ['Jwo']]]]
{'SXzrkKFFix': ['mSoxfsL', 'oQzeD', 'QShRTlR', 'hGAtoS', 'uMnMvSCL', 'U'], 'sopCjha': ['XSxnzy', 'HOCijIHiq', 'sY', 'jvCqqso', 'wQHTJ', 'PN', 'QrrSWCYbhI'], 'JHFmpZ': ['UxIfnVjT', 'oCLPIdyKRR', 'HTdv', 'DEqucIGLA', 'UNe'], 'bK': ['jfFheKPAzU', 'gbhlCBz', 'dtsREwx', 'ZCuphMrv', 'lijGVCqHk', 'H'], 'Gd': ['jH', 'MBTC', 'KzkkmZQCpo', 'UVdoo', 'jzFGtog', 'Vj'], 'LyOwWjO': ['bH', 'JuoHIASx', 'WXoOpGstx'], 'Jwo': ['yWKvp', 'hjH', 'NNrNbwrD'], 'YwxfeSyY': ['exjNj', 'rPeEHH', 'EAzCo'], 'RTUowB': ['wuKHkN', 'Dc']}
100
['HJH deqUCIgLA uMNMVscL U mSoXFsl WuKHKn JzfgtOg oClPIDyKRr YWkVp dC dc KZKKMzqcpo Une dC YWKVP', True]
['hjh oclPIdYkRr UMNmvsCl QshRTLr HgatOS WUkHkn UvDoo HTDv yWkvp WUKHkn dc MbTC OcLPidyKRr wukhkN YwkVp', True]
['YwkVP HtDV HgAtOS UMnmvScl hgaTOS wUkHkn vJ UxifnVjt hjh WUKhKn WUKhKn mbTC oClpIDYkrR wuKHKn hJh', True]
['ywkvP UxIfNVJt QSHrTlR OqzED msOXFsL WUkHkN Vj DEqUCIgLa YwkVp WUkHkN wUkHKN UVdOO dEQUciglA dC nnRNbwrD', True]
['YWkVP UXIfnVJt MsOxfSl HGatOs HGaTOs dc mbtc OClPIDykRR nNrnbWRD WuKhKN wuKHKn vj UxiFNvJT Dc ywkvP', True]
['hjh OClpIDYKRr u qshrtlR QshrTLr Dc vJ unE nNrnbWrD dC DC vJ HTDV Dc YWkvP', True]
['YwKVP UxIFNVjT MSOxfsL MSoxFSl hGaTos WUkHKN kZKKMzqCPO dEQuCiGlA nnRNbwrD dC Dc jZFGTOg ocLPIdYKrr wuKhKn nnrNBwrd', True]
['oQZED ZcuPHMRV OQZEd UVDOo WxOOPGsTx pN juohIASX wqHTJ DtSrewX QsHRtLr uXiFNVJt', False]
['dtSrEWX h ywKVP YwKVp wuKhkN Sy Vj HocIjIHiq sy jffHEkpAzu mBTc EXjnJ PN HtDv OqZeD dtsREwX', False]
['hjh UXIFNvjt u hgATOs hGAToS wuKhKn KZkKMZQcpO UNE NnRnBwRd WukhKN wUKHkN JH UxifNVJt wuKHKn YWkvp', True]
['nnrNBwRD dEQUCIgla HGATOS oqZed oQZed dC uvdOo OclpIDYkrr YWKvp wukhKn WUkHkN kZkkMzqCPO OClpiDYKRR DC YWKVp', True]
['HJh une oqZed u MsOxfsl dc kZKkMZQCpO uxifNvjt YwKvp dc WuKHKN jH UNE dC hJH', True]
['UXifnVjT ZCUPHmRV jvCQQSO lijGvcQHk NnrnBWrd EXJNJ QRRswcYbHI juoHIaSx LIjgVcQhK Bh XsXNzy vJ WXoOpGSTx HTDv nnrNbWrD Oqzed jH', False]
['ywkvp uxifNVjT hGaTOS msOxfsl qSHrtlR Dc vj hTDv hjh WUKHKN dC kZKKmzQCPo htDV Wukhkn YWKvP', True]
['hjH DeqUCIglA MSOXFsL umnmVsCL oqZED WukHkn Vj uxifNVJT nnRnBWrd Dc dc UvdOo hTdV dc nnrnBwrD', True]
['ywkVP dEQuCigLa u MSOXfsL QsHRTlR WukHkn JZfgtOg unE YwKVp wuKHKn WUKHkN jzFgTog hTDv wuKhKN Hjh', True]
['ywkVp DEqUcIGLA u oQZED qsHRTlr wuKhkN kzkKMzQCpO UNe yWKvp dC Dc kZKkMzqcPo DEQuCiGla wuKHkn hjh', True]
['YwKvp UXIFnvJt U msOXFsl HgaToS wuKhKN JZfGToG OCLpidYkRR YwKvp wUKHkN DC MBTC Une WukhKn HjH', True]
['YWkvP uNe u oqzED oQZED wukHKn mBtc dEQuCiglA hjH dC WuKhKN JH UNE wUkHKN nNRNBwrD', True]
['HJh UXiFnVjt UMNmvsCL MSoXfSL qsHRTLr wukHkn jzfgTOg OClPidyKrr yWKvp Dc wUkHKn UvDOo DeQuCigLa wUKhkN HJh', True]
['HJh hTDv qshrtlr UMnmvscL uMNMVScL DC mbtC uNe nNrnbWRd WuKhkn DC JZFGTog DeQUcIGLa WUKhKn nnRNbwRd', True]
['NnrNbWRD HTDV OQZEd OQZED U dc Uvdoo hTDV nNrnBwRD WuKhkn wUKHKn jzFGtoG UNE DC HJH', True]
['NnrnbWRD HTDV mSOXFSL HGatOS qSHrtLr DC Vj Htdv HjH WUKHkn dc kZkKMzqCpo htDV Dc HJH', True]
['hjH uxifnvjt msOXfsL oQzED HGATOS dC JZfGToG deqUciGla NnRnBwRd wuKHKn WUkhKN mBtC OClpIdyKRR WuKhkn nnRnbWrD', True]
['OCLpIdyKRr XsXNzY dC wxOopgsTX EaZCo gBhLcBZ Dc H qRrSwCybhi eaZCO wqHtj jVCqqso htDv nNrnbWrD u', False]
['nnrNbwRd oClPIDYkRr UMnMVscL QsHRTLr oqzEd dC KZkkmZqcPO UXIfNvjt nNRNBwrd Dc dC JzfgtoG DeqUcigla WUkHKn nNrNbwRD', True]
['wqhtj MSoxFsl oQZeD pN JFFhekpAzu wXoOpGsTx Hjh WQHtJ WXOOPGStx Uvdoo Bh xsXnzY NnRnBWrD hoCijIHIq QRRSWCyBHi oqzED rpeeHH zcuPhmRv', False]
['Dc pn uxIfNVjt XSXnZY UxIFNvJT hJH bH yWkVp zCUpHmRv hOCiJiHIq jffHEkpazu WXoOpgsTx jh hociJIhIq jfFhEKPaZu DeqUcIGLa EAzCo UmNmVSCl Oqzed', False]
['YWKvP UNE oQZed MSOXfSL OqZED DC MBTc unE hjH Dc DC uVDoO HTdv WukHkN nnrnbWrD', True]
['hjh HtDV QshRTLR UMnmvsCL HgaTOs WUkHkn mBTc OclPIdyKRr NNRnbWRD wUKhkN wukhKn jzfGTOg deQUCigLa WuKHKN hjH', True]
['U h kZkkmzqcpo h mbtc jFfhEkpazu WQhtj gbhlcBz jH QrrSwcybHI htdv HGaTOs WuKhkN Hjh DtSReWx VJ UMnmvsCL EazCO', False]
['mbtC UnE EAzCo jZFgTOg QRRswcyBHI Hjh NnRNBwrD uMnmvscl EaZco DEquCiGLA UnE Bh HJh h', False]
['jzfgTOg hOcijIhIq hGAtOs dEQuciGLA uVdoO htDV jH lIjgvcqHK mSOxfSl UVdOo UxifNVjT XSXNzY OclpIdykrr Dc jzfGtoG JVcQQSo xsxNzY HOciJIhiQ mbTC', False]
['HjH UNE qShrtLR qsHRtlR MsOXFSl dc jZFgtoG unE hjh DC WUkHKN jH htDv dC yWkVP', True]
['u KZKKMZQcPO EAZcO NNRNbwRd dTsrEwx uNE ZcuPHmrv uxifNvJT HoCiJIHIq HocIJiHiQ wXOOPGSTx jFFHEKpAZu nnRNbWrD wUkHkn MBtc uVdOO NNRnBWrD gbhLcBZ u', False]
['DeqUCIGla NnRNBwrd H unE UmNmvscL hgAtOs GbhLcbZ umNmVSCl ExJnj hgATos WUkHKN zCUPHMrv zcupHmrv XSXnZy', False]
['hjH htdV UmnmVsCL U MsOXFsl wUkHkN JzfGTOg UXiFNVjt ywKVp DC wukhKN JH uXifnVJT WukHkn YWKvp', True]
['YWKVp uNE mSOXFSL uMnmVscl msOxFSl wUkhkN uvdOO uxiFnvjt NNrnBWrD DC WUkHKn MbtC hTDV Dc ywKVp', True]
['NnRnBwRD UXiFNVJt QshrtLR hgAtOS u WUkHKn kzKkmZqcPO HTdV YwkVp DC wuKHKn JH deqUCIgLA wUkHKn HJH', True]
['HjH unE UMnMvScL qShrTlr mSOXfSL wUKhkn mbtC UNE nnrnBwRd dc Dc vJ HtDv DC nnRnBwRD', True]
['MsOXfSL uXIFnvjT exjNj jvCqqSo Bh OqZED ywkvp gBhLCBz JvcQqsO dtSreWx UNe uXIfnVJT jvcQQso lIJGVcQhK', False]
['hJh uxifnVJT MSoxfSl umNMVscL umnMVsCl DC uvDoO uNe NNrNbWRd dC WUKHKn Jh UNE dC HjH', True]
['ywKVP QSHrTLr WqhTj htDV OClpIdykRr qRRswCyBhI UmNMvSCL qshrtLr Bh H uxIfNvjt lIJGVCqhK', False]
['YwKvp OClpIDYkRR UMnmVSCL MSoxFsL u wUKhKN KzkKmzqcPo OCLPIdYkrr NNRNBWrd DC wUkHKn Jh DequCIgLa wUKHkN nnrnBwrD', True]
['hJH UXIfNvjT qSHrtlR u OqzEd dc JzFgToG dEqUCiGLA yWKVp wukhKn wUkhKN vj ocLpidyKRR wUKhKN NNrNBwRd', True]
['nnrNbwRD OCLpidYKRr OQzED OQZEd uMNMVSCl Dc KzkKMzqcPO oCLpiDYKRR YWkVP Dc dc JzFGTog uXiFNVjt WUkHKn nnRNbWrD', True]
['nnRnBWrD unE oqzED mSoXfSl MSOxfSl WukhkN KZKKmZQCPo unE hjH WUkhKN wUKhkN MbtC UnE Dc ywKvP', True]
['nNRNbWrD HTDv HgAtos MSOXFsl MSoXFSl wUkHkN JzFGtOg uxifnvjt hjH DC wUkHkN mbTc hTDv wUkhKN ywKvp', True]
['dtSREWx XsXNZY mBtc OcLPIDyKrr OCLPiDYKRR bh oclPIDykrR OqzED qShRtLr zcuPhmrV NnrnbwrD qsHrtlr', False]
['xsXnzy WqHTj H mSoXFsL jFfHeKPaZU oQzed UmnMVscL gBhLcBZ HOciJiHiQ nnRnBWRD UxifNVJt bh hjh MSOXfsL DC oqzeD', False]
['hJh htDv oQZeD HgaTOS MSOxFSl wUKHkN kzkkMzQcPo deQUCigLA nNRnBwrd dc DC MBtc DEQuCigLa Dc HjH', True]
['hjH uXIFnVJT oQZEd QshrTlr U wuKhKn vj DeqUcigLA NNRnBWrD WuKhkn WUkHkn JZfGToG HTDV Wukhkn nNrnBwRD', True]
['LIjGvcqhK Jh jVcqQso yWkvP oclpiDYkrr MSOXFSl kzkkMzQCpO xSXNzY HGAToS OQzeD', False]
['HJH Htdv HgaToS qsHrTLr MsoXFSl dC KZkKmzqCPo Une nnrNbWRd dC Dc uVDOO dEqucIgLa dC yWkVP', True]
['qshRTLr MsOxfSL wuKHKN hJh NNrNbWRD une uNE hJH PN kzKKmZqcPO MbTc dEqUCIGLa', False]
['xsXnzy Dc LijGvCQHK HJh QShrtlr HociJIhIQ MSOXFsL hOCIjiHIq HoCiJiHiq QShRtLR Vj', False]
['Sy uXIFnVJt U hGATos Vj wxooPGSTX MbTC gbhLcBz jH WQhTJ KzKKmzQCpo h LIjGVCQHk JFfhekPAZU uvDOO Bh WUKHkN wQhTJ rpEehH', False]
['ywkvp une umNMVSCl qshrTLr hGAtos WUkHkn mbTc OcLPidyKRR nnRnbWrd dc dC uvdOo OCLpIDyKRr WUKhkN YwKvp', True]
['HGAtOS hTDV jVcqQSo hjH Vj WXOopgsTx u dC ZCUPhMRv UxiFNvJT OclPIDykRR JZFgtog RPEeHH JH', False]
['HJh KZKKmZQCPo HGAtoS wQhtj XsxnzY Sy uVDOO sy Mbtc DTsREWx', False]
['yWkvP UNe MsOXfsL uMnMvScL u dC UVdOo ocLPiDyKrR ywkvp dC Dc jzFGtOg oCLpIdyKrr dC hJH', True]
['NNRnBWrD htdv HgAToS HGATOS MsOxfsl wUkhKN UVDOO oClpIDykrr nnRNBWrD wuKHKN dC vJ DEqucIGLA WUKHKn ywkvp', True]
['hjH oClPIdYKRR U mSoxfsl UmnmvScL DC jH UxifnVjT ywkVp dc WuKHkn MbTc uXIfnVJt Dc YWKvp', True]
['H gbhLCBz WUkHKn bH jvcQQsO oQZED lijgVcQhK UMnmvsCL jfFHekPAzU vj dequcigLA u u jH UxIFnvjt umnMvscl', False]
['yWKvp dEquCIglA msOxfSl uMnmvsCl U DC MbTC uNe hJH dC Dc kzKKmzqcPo uNE dC NNrNbWrd', True]
['nNRNBwRd ocLpiDykRr UmnmVSCL hgATOS QsHRtlR Dc Jh UNE nNrnbWRD WUKHKN DC JzFgTOG OcLPIdykRr Dc NnRNBwrd', True]
['nnRnbWRD HtDv OqzeD QsHRTlR U DC KzKkMzQcpO Une hJh DC WUKhKn kZKKmZQCPo uNe dC Hjh', True]
['nNrNBWRD uxiFnVjT U MsOXfsl UmnmvSCl Dc JH DequCiGLa nNrnbwRd dc wUKhkN MBTC HTdv dC HJh', True]
['YwKvp DequCiGLA umnmvsCl MsOXfSL HgATOS wuKHKN jH uNE YWKvp wUkhKN WukhKn mBtc UXIfNvJt dC nnrnBwRd', True]
['RpEeHh h mBTC EaZco Jh u une rpEeHh ZcupHMrv JVcqqso VJ qsHrtLR xsXNZY HTDV hjH QrrsWcYBHI WuKHkn qrRswCYBhi', False]
['HjH DEqUcIgLa QShRTlr U U WuKHKn uVdoo oClPiDykRR Hjh dc WUkhKN Vj une WUkHkN hjH', True]
['NnRnBWrd hTdV OQzED hGatOS msoxFsL DC JH unE HJh dc WukHkn KZKkMZQCpO OCLpIdyKRR dc ywKvP', True]
['HJH uxifnVjT OQZed HgatOs QSHrTLR Dc kzKKMzQCPo uNE HjH Dc dC kZKkMZQcPo OCLPiDYkrR WuKhkn nNrnBWrD', True]
['u wQHtJ xSXnZY DtsrEwx JFFhEKPAzu WXoopgstX jVCQQSo hGAToS nnRnBwRD qRrSwcyBHi', False]
['NNRNBwRd uxIfnvJt oQZeD QshRTlr HGaToS dC uVDOo OcLpiDYkrr hJh wuKhKn wuKHKN Vj oClpIDYKRR WuKHkN nNrNbwrd', True]
['nnrNbwrd uNE U qSHRTLr qsHrtLr dc uvDoO Une yWkvP DC DC UvdOo hTDV WUkhKn ywKVP', True]
['nNRnbwrD UXifnvjt Oqzed U MSOxfsl wUKhKn vj DEqucIGla NnRnbwrd Dc DC JZfGToG Une dC yWKVp', True]
['YWkVP DEqUCiGlA OQzEd HGatOs msoxFsl dc Vj hTDv yWKVp wUKhkn wUkhkN Vj OcLpIdYKRr dc YWKvp', True]
['YwKVP oClPidykrr msOxFsl umnMVscL oQzEd WUKhkN jh DeqUcigLa nNRNbwRD DC dC jZFGtog DEqUCiGlA WUKhkn hjh', True]
['Uvdoo htDV jZFGtoG Jh UvDoo SY HTDV UXIfNvjt ZCUphMRV htdV', False]
['zcUpHMrv wqhTj Dc UMnMvScL yWKVP dTSrEwx VJ jvCqQso dTsReWX JUoHiASx EAzCo nnRNBwRd qRRSwCYBhI JH UXIFNVJT', False]
['HTDV RPeeHH HJh rpEeHh HGaTOS GbHLCBz wqHtj u HGAtOS rPEEhh QSHRTLR RpeEhh', False]
['HJh HTdv msOXfSl OqZED hgATOS wukhKN JZFgtoG HtDV nNRNbwRD Dc dc jZfgtOg oClpIDykRr WUkhkN nnRNbwrD', True]
['nNrnbWRD deQUcIGLa mSOXfsL oqzeD QshrTLr wUKhKn vj UnE hjh WUKhKN WuKHKn uvDOo oClPiDYkrr Dc HJh', True]
['qRrSWCYBHi nNrnBWrd ZCuPHMRv OcLpiDykrR GBHlcbz dC jH pn OcLpiDyKrr mBTc WxoopgSTX xSXnZy Vj oCLPidYkrR kzKKmZqCpo unE gbhLCBz VJ', False]
['HOCIjiHiQ JZfGTog jffhEkPAZu WqhTj uVdOo eazco jvCQqSo JZfgTOg WuKhkn XsXnZy uxiFnVjt h htDV WQhTj bH', False]
['ywkVP DequciGlA u QShRtlR U dC vj oClpIDykRR nNrNbWrd Dc wuKHkN MbTc UXIFnVJt WUkhkN Hjh', True]
['hjH Une HGAtos HGATos qSHrtlr wukHkn MBtc UxifNvjt nNRNbWRd wuKHkn Dc kzkKMZQCpO UNE WuKHkn hJH', True]
