['vzLPcvC', ['D', ['MDo', ['GqNYcU']], ['kpdbkm', ['GNrUeBdf']], ['GqNYcU', ['OMF'], ['D'], ['wPmg']]], ['wPmg', ['fZ', ['zLiANMDOES'], ['viZJClyhjB'], ['e']], ['wPmg', ['e'], ['vzLPcvC'], ['wPmg'], ['e'], ['zLiANMDOES']]]]
{'e': ['WqLs', 'Vc'], 'D': ['EowbbtJNtF', 'NdCqiiPKWy', 'FEQ', 'LCU', 'yOkzQ', 'cujRIzznd', 'NKNbfYMgV', 'MRVvoJCrT', 'NkWBGjuTM', 'LCGSWbI', 'AeRPJXj', 'oFaHhpf'], 'kpdbkm': ['fZo', 'hu', 'YyNeJNs', 'zw', 'qTrso', 'XS', 'TPJVczkOd', 'qZmUH', 'KlMgAjAqWF'], 'GqNYcU': ['Fy', 'NVifoMR', 'rHnY', 'iOPqDMJ', 'gvjF', 'YKvBrx', 'hOJ'], 'fZ': ['tdbI', 'HnPYLiZpJ', 'JKSUeNW'], 'GNrUeBdf': ['GEnPaBDRXv', 'ESzTWHvSe', 'MZB', 'KGlGn', 'Y', 'eQ', 'lnNjxD', 'VVjVB', 'sMRDr'], 'm': ['MUJnH', 'uJAGTpyV', 'n'], 'QePoC': ['EQa', 'XQn', 'uks', 'jIvlsxI', 'omOicEHm', 'vpuStGEkcw', 'YOSvxurwq', 'NxJjcflcev', 'FfDsAp', 'OpVyltR'], 'zLiANMDOES': ['aiJeY', 'JxVAZEBwP', 'NEWvlxw', 'cRsyENIOsW', 'TUardodAZ', 'zYthtXk'], 'GJabH': ['cq', 'V', 'DImvjuW', 'nQyCggnrvv', 'fgFz', 'mxbcwVbL', 'cHL'], 'TTSpDR': ['KdRXHwcTQ', 'tlHx', 'fJFbYYX', 'DRtaOPY', 'raPIw', 'rYWOK', 'btjEU', 'yRZtdTKAu', 'AfdSuD', 'hnFo', 'PwzqZ'], 'wPmg': ['xjm', 'BODHMsoGO', 'bRiDd', 'jmKwUWQr', 'PRC', 'pmBXjDof', 'tSDXidJ', 'OFGAZQNqye', 'qbnjwxflnz'], 'syJc': ['lJXLn', 'edegDqP', 'lRmqFbsMEk', 'T', 'BpDNzMVTa', 'tvLbFf', 'QYypdoMyWW', 'AbWWjMKP', 'b', 'dcHqOKrOtR', 'Uleajjny', 'zJK'], 'OMF': ['e', 'yfWoqo', 'bVhh', 'OZz', 'iPxAb', 'agnFVGIyHz', 'cBpNkTXwx', 'Z'], 'X': ['aXe', 'azfznBKag', 'IlukLcEvBG', 'jApRrftqYE', 'HugjJx', 'LxnzpJ', 'ihkYaZBQ', 'tXl', 'btDTgfId', 'HETaNRrF'], 'viZJClyhjB': ['t', 'lfwTvq', 'qgAoudfTf', 'HRfmT', 'AqiEXS', 'f', 'AArvQnsPuZ', 'QLN', 'ZLgBGdY', 'JMRIok', 'JpuslAbf'], 'vzLPcvC': ['w', 'Q', 'sstJWGDOws', 'EN', 'OgcLSfjqw', 'PXLBfVr'], 'yjNrnqRpdt': ['wt', 'QbjRJSvv', 'RVBGVJ', 'SDhJ', 'GOvNj', 'ARcwm'], 'MDo': ['CneyA', 'VhnjLR', 'qiTw', 'MBbs', 'GdYUuUDuCF', 'ispPkFTv']}
100
['FY vvJvb z FEQ JMkwuwQr CrSyENIOsW AArvqNSpUZ wQlS Vc OgcLSFjQw XJm WqLs JXvAZEbwP', True]
['IOPqdmJ vVJvB IpXab MrVvOjCRt jMkWUWQR aIJey lFWTvQ Vc WqLS q PMbxJdOF vc tUaRDoDAZ', True]
['hoj sMrDR IpXaB NdcqIIpKwy qbNJWXFLnZ aijey JMRioK wqLS Vc W qbNJWXfLNZ WqLs aiJeY', True]
['RhNy LNnjXD E NkwbgjuTM tsdXIDj CRsYeNioSW JMRiOk vC wqLs oGCLsfjqw JMkwUWQr wqlS zYTHtXk', True]
['YKVbRX eq IPXaB NKnBFYmGV TSDxIDJ crsyenIOsW aArVqnspUZ wqls VC en BrIdD wqLs TUArdoDAZ', True]
['y HnPyLiZpJ NQYCgGNrvV B VHNjlR mZb xQN fjfbYYX CUJRIZZnd jAPrrFTQYe ZLgbgDy', False]
['nViFOMR Y CBPnKtXwx lCU PmBxJdof zYthtXK QgAOUdFTF Wqls Vc Q brIDD Wqls jXvAZEbwp', True]
['gvJf SmRdR aGnFVgIyHZ eOwbBtjNTF PmBXJDOF jXvAZEBWp Qln WQls wQLS q QBNjWxFlnZ vc zytHtxK', True]
['iOpQdmj LnNJxd CBpnKTxWx ofAHHPF tsdxidj ZYtHTxk jpUSlaBF wqLs WQlS q BrIdD vc AiJey', True]
['gVJF geNpaBdRxV cBPnKtxWX fEq BOdhmsoGO zYtHtxk AQiExs vc VC EN tsdXIdj VC jxVazebwp', True]
['NviFomR GENpabdRXv IpxAB LcgsWBi TsdXIdj aIjEY qgAOudftf WQLs WqLs eN jmkwUwqr Wqls nEWVLXw', True]
['aGNfvGIyHz t V AZfzNbKAg jmrIoK CHL ArCwm boDHmsoGo eqA oMOICehM kLMgAJaqwF', False]
['gVJf eQ Ipxab LCU PMBxJDOF CrsYEnIOsW ZlGBgdy wqLs VC EN TsDxIdJ vc ZyTHTXk', True]
['IopqdMj eQ BVhH nDCQIIPKWy QBNJwXflNz ZYTHTxK ZLgbgdY wQLS vc pXLBfvr jMKwuWqr wqls zythtxK', True]
['HUGJJx oPVylTr pmbxjdof FJfbYyx huGjJX neWVLXw yRztdtKAu GeNpAbDRxv pXLbFvR XQN OpVyltr VPUSTGeKcW tlhx Q AxE UlEAJJNy cUJRIZzNd', False]
['IoPQdmJ KGLgN cbPNKTXwx NdCqIiPkwY pmBXjdof zYTHTxk qLn VC WQlS Q BOdhmSoGo vc cRsyeNIOsw', True]
['sdhJ oFAHHpF QBNjWXFLnZ AIjEY LCgswBI YkvBRX KlmGajAQWf TvLBFf qzmUh tpJVcZKod OfAhhpF sDHJ XJM OfAHHpF', False]
['YkVbrx gENpAbdrxv aGNFVGiYhz FEq tSdxIDj jxVazEbWP QLn vC VC OgcLSFJqW jMkwUwqR VC AiJey', True]
['rHny Eq z YoKZQ xJM crsyeNIOsw F wQls vC sStjwGdowS xjM WQLs tUarDoDAz', True]
['yKVBRx Eq CbPNkTXWx nKWBGJUTM PmBXJDoF ZYThtxk AARvqNsPuZ Wqls wqlS SStJwgdowS ofgAZqnqYE vC aijey', True]
['fY Mzb e lCu XjM aiJey F VC wQlS q BodhmSoGo WQlS tUArDodAz', True]
['HoJ Eq E MRvVOjcRT QBNJwxFlnz NeWvLxw lfWtVq VC vC SsTJwGDoWs prc WQlS TUarDOdaZ', True]
['fy vVjVB CBPNKtxwX oFAhhPF ofGaZQNQyE neWvlXW qGAOUdFtF wqls wqLs ogcLSFJQw oFgAZqnQyE vc AIjeY', True]
['JaPrrfTqye f vPUsTGEKcW LRMqfBsmek dRTaopY mxbcwvbL NVIfOMR Q TLHx tDBI nKnbfYMgv aFDsud B', False]
['HOj kGLgN agnFvGIyhz EoWBBtJntF Prc TuArDoDaZ zlgbGDy WqLS VC sSTjwGdoWs OFGAZqnQYE vC newvLxw', True]
['hOj MzB cbPnktxWX cujRIZznd JMkWUWQr aijEy F VC VC eN QbnjWxFLnZ WqLS newVLXW', True]
['zW ujaGtpYv yRZtDTKAu NeWVlxW vVjVB QgAOUdFtF pmBxjdof QbjRjsVv YyNEjNs', False]
['Fy sMRDr aGNFVGiyhZ NDcQIiPkWy oFgAZqNqYe aIjEY qGaoudFtF wqLS WQls eN ofGAzQNQyE vC TuaRdoDaz', True]
['ioPQdmj y e lCU OfgaZqnqyE JXvaZEbWP LFwTVQ VC vC sstjWGDOWs BodHmsoGO VC aIjEy', True]
['Fy vVjvB E MRvVOJCrT BODHmSOGo aiJeY JPuslABf WQlS vc w PmBxJdOf VC aijeY', True]
['rHnY EQ oZz CUJRIzZNd OfGAzQNQye JxVAZEBwp QGaoudftF wQls wQls OGcLSfJqW BRIDd VC tuardodAZ', True]
['hOJ EszTWHvse CbpNKtxwx nKWbgjUTm tSdXIdj aiJEy aARvQNspuZ wQls Wqls PxLbfVR bridd WQlS aijEy', True]
['ykVBRx GEnPaBDRXv yFwOqo lCGsWbi qbNjWXflNZ tuardoDaz QLn vC WqLS EN XJM WqLS tuArdOdaZ', True]
['fY vVjVB CbPnKTxWX mrvvOJcrT pMBXjDoF aijeY t WQLs wqLS Q xJM WqLs jxVAZeBwp', True]
['iopqDmJ lnnJxD iPXAb YoKZQ OfGAzQnQYE newVLXw aarvqnsPUZ Vc vc eN QbNJWxFLnz WqLS cRsYEniOSw', True]
['yKvBRX kglgN e LCu qbnjwxFLNZ aIjEy zLGbgdy wqLs wqls Q brIdD Wqls tUArdODAz', True]
['sMrDr mujNH CBpNktxwX AQIeXs EQ rHnY bpdnZMVTA YynEJnS n NkwBGJuTM jXVAZEbWP JivLSXI Wt DchQoKrOTR', False]
['BodhmsogO LRmQFbsMek zlGbGDy NeWvlXW e EqA MRVvOJCrT nXJjcFLcev jxvaZEBWP', False]
['GVJF vVJvb E NKwBGJutm xjM CRsYeNIOsw lFWtVQ wqLS WqLS W BrIdd VC AIjEY', True]
['RhNY kGlgN e NdCqIIPkwY xJm zYthtxk LfwTvq WQlS WQLs sSTJwgDows bRIDd vC NewVLXw', True]
['iOPQDmJ sMrdR bvHh NDcqiIpKWy bridd tuArdODaZ hrFmT WQls VC En OfgAZqNQYE Vc TUArdodaz', True]
['iSPpKftV MUJnH ZW prC WqlS QZmUH axE qbNjwxFLNz RHNY QbjrjSvv KLmGaJAqwf rvbGVJ Mzb lcGSwbI Hu mXBcWVBl', False]
['NviFOmR LnNJXD BvHh EoWBBtjNTf ofGAzqNqYE CrsyEnIOsW AaRVqNsPUz WQls wqls W BOdHMSoGo wqls NeWvlxW', True]
['oZZ RhNy MBBS dIMVJUw Gvjf mzB BpdnZmvTa cneYA f', False]
['Lcu VHNjlR gvjF YynEJNs HnfO YkVBRX OFAhhPF ISppkftv TuarDodaZ', False]
['hU hnpYliZPj qitw w CbPnktXWx oFahhPf mzB JMKwuWQR lRMqfbsmek SmRdr EqA oFahhpF nKwbGJuTM eDeGdqP yrztdTkAu ZyTHtxk', False]
['rHNy EQ BvhH aeRPJxJ BOdHMSogo cRSyeNIOsw JPuSlAbF Vc vc PXlbfVR PRc VC aIjEY', True]
['YkvBRX smrDr E yoKzQ prC tuArdOdaz JpUSLabF VC wqls pxLBFVR BODhmsOgo Vc AIJEY', True]
['nVIFomR eQ OZZ lcu BRiDD zyTHTXk LfwTVQ VC vC ogclsfJQw XjM wQls aIjey', True]
['GVJf LNnjxD cBPnKTXWx CUjrIZzND JmKwuwqr cRsyenIoSW AaRvQnSPuz vc VC sStJWgdoWS qbnJWxFlNz wQLs tuArDOdAz', True]
['mXBCWVBL Rywok FY hrfmt tLhX NqYcgGNRVV VHnjlR OFAHhPf klMGAjaQwf AqiEXS FgfZ mZb eoWBbtJNTf', False]
['RHNY KGLGN agNFvGiyHz mrvVoJCrT prc ZytHTXK AQiExs VC WqLS sStJWgdOwS XjM vC crSyEnIOsW', True]
['YOkZQ bRIDD TSdXIDJ pmBxjDof ILUKLCeVbg OgClsFjQW t mUJNH MXbCwVbL QZmUh HeTaNrRf fGfz', False]
['GvJF lnNJxD cBpNktxwX nkwBgJuTM jMKWuWQR tUarDODaZ T Vc VC Q PmbXjdoF WqLS nEwVLxW', True]
['t WT qzMUh hNPylIzpj gvJf f hu v y JmrIok t', False]
['ioPqdmj VVjVB agNfvgiYhZ lcgSwbi oFgazqnqYe aIJeY JMrIOK WqLs vc EN BoDHMSoGO wqlS JxVAZEbwP', True]
['TSDXIdj tUArDoDAZ btJeU VhNjlR CuJRiZznd T pRC RVBGVj DrtAopY vhNJlR XJm TSdXIDj', False]
['YoSVXURWq ujagtpyV BPDnZMVtA BVhH FFdsAP GOvnJ Z mRVVOJCrT FfDSAp fFdSaP rvBGvj gdYUUuduCf', False]
['hU CHL TuArdODAz LnnjXd qGaoudftf ESztwhvSe jiVLSxI jaPRrfTqyE HU', False]
['rHnY KglgN AgNFvgiyHz eoWbBTJntf BodhMsoGO aIJeY HrFMt Vc WqLs pXlBfvr XJm wqlS JXVazEBwp', True]
['fY SMRDR yFWoQO mRvVoJCrt PrC cRsYeniOsW JPUsLABF Vc wQls sSTJwgDoWS tsDXiDj vC aijEy', True]
['JpusLAbf CrsyenIOsW cbpnKTXwX AzFZnBKag xJm yFWoQO bOdHMsoGO raPiW yyNeJns ipXaB b GdYuUudUCf TvLbFF jAPrRFtqYe', False]
['IoPQDMJ GenPabdRxV bvhh NdcqiipKWy BRIDd ZythtXk F Vc wqLS pxlbfVr QBNJwXflnz wQlS tuARDoDaz', True]
['yKVBrX Y Z eOwbbTJNTF bridd TUARdODAz ZLGBgDY wqLS VC sStJWgdoWS bODHmsOGO wQLS NeWvLXw', True]
['HoJ EsZtwHVSE z lcu oFgazqNqYe crsyEnioSw AaRvQNSPUZ VC Vc W PRc vc JxVAZebwP', True]
