['vAUaRgbcO', ['Q', ['xnVzisV'], ['pfJNeWjWMx'], ['Q'], ['jdTh']], ['fDygjFHn', ['wxlbJ'], ['vAUaRgbcO'], ['wxlbJ']], ['jdTh', ['rEJcmf'], ['Q'], ['fDygjFHn'], ['klLdOFnEu']], ['AHGuKfaE', ['fDygjFHn'], ['jdTh']]]
{'HDTamM': ['eCxgk', 'bXgBAm', 'GefdLyxSc', 'OyW', 'puxqkHdn', 'xgRUUGhQ', 'ZHIxKYSL', 'fnqubSAVr', 'pklEp', 'Jx', 'UEOadgT', 'ErsOcSb', 'xV', 'cQQzmRc'], 'jdTh': ['zhqCpf', 'y', 'WME', 'VpiuoqMFBS', 'YT', 'ovHpQzxf', 'bW', 'Td', 'LFKIqJh', 'cqbVIUpu', 'jA', 'NHROcKi', 'A', 'mzvysFUBK'], 'wxlbJ': ['k', 'Eo', 'd', 'xT', 'SEHtAEMHOI', 'YFxeFw'], 'xnVzisV': ['Y', 'rkvDmaA', 'P', 'xv', 'RqN', 'lQm', 'YA', 'YgXvjnRm', 'BqTOv', 'HfQAd', 'qmp', 'cZVPbNDJ', 'NXc'], 'oSQ': ['yzrcZBP', 'ucGw'], 'vAUaRgbcO': ['XJnnRQl', 'LsmIWoDP', 'l', 'z', 'JHbNoMP', 'IxXaNg', 'VG', 'TFkDNkxuu', 'xYa', 'qS', 'FhEqeMjbMg', 'kmTol', 'mSu'], 'oCNb': ['YGvMDGoKoG', 'ThE', 'EldEflB', 'kT', 'yYiVv', 'zPlHoUweH', 'QoAyegy', 'Mcmy', 'IiiZSapA', 'QLwmmN', 'eBrLDSyK', 'LnxZvqmT', 'tqOtqIOUch', 'jg'], 'JMpT': ['duygZ', 'DSkK', 's', 'YqLxoNy', 'rUmJz', 'EcL', 'jdUM', 'ElkHuK', 'yffurc', 'BxFlNRwQw', 'EmNkDp'], 'pfJNeWjWMx': ['JvNXoc', 'CqEbMJM', 'fBQkFpeXM', 'fK', 'nfXghG', 'V', 'PyM'], 'klLdOFnEu': ['CqvOYAI', 'NaTuh', 'SyUh', 'HdE', 'TnvzlmOW', 'iCmSCnFG', 'lsQsMLvcf', 'kEYHjgcR', 'dpOrKS', 'exH', 'WBUib', 'MidErwhR'], 'fDygjFHn': ['lHThzXoydM', 'lmVtrB', 'TIO', 'rqYCW', 'hRg'], 'AHGuKfaE': ['stzZZXfr', 'wJCjTqEFw', 'zsadkI', 'YSm', 'UKz', 'aLlFTup', 'rvnLB', 'OIlDv', 'kMWcAmVN', 'fKyChYKe', 'CzSpbYW', 'IUuKR', 'hKs', 'cBuX', 'Vd'], 'Q': ['VrSsCQi', 'mgvsedu', 'dUnl', 'tgRCnsQKou', 'Dy', 'KI', 'BdUZaLhbcQ', 'hrVxVoqyYY', 'aEPWRvea', 'pwuzgqt'], 'dKWjHt': ['AYqMv', 'wmpvyyV', 'b', 'TUBT', 'r', 'EIzxxdOg', 'oIsvbPXKuI', 'egTJnZ', 'QLOmfhHQr', 'SPhRXSr', 'lvMPsvBfA'], 'rEJcmf': ['E', 'Ag', 'arDEgxjw', 'SWgaK', 'kCeLFt', 'pPYrS', 'qjV', 'tUOnaClvOV', 'bN'], 'Y': ['g', 'hk', 'FlqYMiinh', 'uJMIhL', 'G', 'kjZv', 'ewOoWlEm', 'XEoaqx', 'T', 'MAwMC'], 'OyC': ['BcCirP', 'XJBplfNA', 'TejINq', 'eLOgP', 'VgPUtJfXxm', 'bdrqIVdMJA', 'iTG', 'dMOvObswtp', 'kXkEAzA', 'JSwxZUNN', 'c', 'ygBRfHy', 'Bm', 'DLGISJTqqV', 'AcxUxWvWxB'], 'bJNUCNOG': ['KvC', 'dIQDOlnX', 'JWJEDS', 'VGiJncoBqM', 'yDvgPL', 'yoncMmkA', 'hdMRD', 'LRyIy', 'hKI', 'uQGGEXVtX', 'lEQCc', 'WmjuIWqz']}
100
['YA V VrsscqI cqBVIUPU XT z xT E dY HRg Exh tiO Y', True]
['cqebmJm v Kvc fHeQEmJbmg YDvgpL bQTOv CqvoyaI DiQdOlnX AcxuxWvwXb xV dMOVobSwTp RUMJZ Bw', False]
['xv CqEBmjM HrvXvoqYYY LfKiQJh yfxEFw lSMIwODp k E pWUzgQt LHThZxOyDm DPoRks rQYCw bW', True]
['qMp CQEbmJM kI LFKiqjH K kmtOL sEhTaEMhoi QJV VRsScQi TIo KeyhJgcR rqYcw vpiUoqmfbS', True]
['rQn fK KI Wme yFXefW qS SEhTaeMHOi ARdegXjW bdUzALhBcq LhthzxoYDm ICMsCNfG lHThZXoydm mzvySfUbk', True]
['MzVySFuBK yYIVV TqotQiOuCh yt UJMIHL pwUzGqT iIIzsaPa d ErSOcsB yONCMMKA C OisVbPxkuI dmOVobSwTP P Fk C V', False]
['BW DUyGZ jWJEds ErsOcsb lsQSMLVCf Eo LMVtrB YgXVjnrm MiDeRWhR jG xJNNRqL rQn LHtHzXoYdM ja OyW', False]
['rKVdMAa JVNXOc BDUzAlHbCQ Y YFxefW l K kcelfT dY hrg dPoRkS hRg VpIuoqmfbS', True]
['xv v AEPwRvEA jA k IxxaNG Xt SwGaK kI hrg hDe rqYcw WmE', True]
['Ya PYm DUnL Y D VG yFxefw bN MgVSEdu HRG TnVZLMOw LhtHZXOyDm zHqcPf', True]
['Ya mgvseDU wJcjTqEFW BdrqiVdMJA ujMihl ErsOcsB hkS cQqzMRc UJmIHl', False]
['Elogp dPORKS ysm EMNKdP exh cqvoyAi kjzv wmpvyyV WBUIb HDMrD WMe dUYgZ CqvoYAI G YSm', False]
['HkS Tubt aRdEGxjW wmE yFfURC kcELFT KEyHjgCR E OVHpQZXf oisvbPXkUI', False]
['CzvPBnDj V dY y yfXefW lsMiwoDp yfxefw TuOnAclVov BdUzAlHBcq HrG Exh hrG VpiUOqMfbs', True]
['FnQUbSAVr TEjinQ YgVmDGOKog LNXZVqmT e DunL ySm WMe erSOCsB Eo eLOgP yA', False]
['y v BdUZalhbcQ nHRoCkI sehtAEmHoi kmToL k KCelft dUNL LHthzxOydm wbUiB lhtHZXOYdM oVHpQzXf', True]
['qMp v HrvXvOQyyY y YfxEfW iXxanG Xt QJV ki lmvTRb IcMSCnfg lhthZXoydm A', True]
['lQM JvNXoc tgRCNSqKoU yT K mSu Eo SwgAK mGvSedu LHthZxOyDm iCMscnfG RqYCw yT', True]
['LqM fk dY nhrocki eo z D bN DuNL rqyCw WBuib Tio yt', True]
['NXC fk tGRCNsQkOu y seHTaeMhOI mSU XT e dunL TiO hde Rqycw zhqCpF', True]
['y cqeBmjM PWuZGQt Wme Xt QS SeHtAEMHoi E hrvxVoqYyY lhThzXOyDM eXH hrg td', True]
['PklEp ydVGPL xt jwjEDs CqQzMrc hKi aLLfTuP qoayeGY BcCIrP', False]
['lqm v aePwrVeA nhRocki SeHTAEMHoi xJNnrql xT aG duNl LmvTrb ICMscnFG Tio zhQCpf', True]
['wMpVyyV TUoNAcLvOV JSWxZuNn vgPUtjfxXM dUYgz fnqubSavr yyIVV CQQZmRc lsQSmlVCF', False]
['tnVZlMow e CQQzmrc LqM g xjNnRQL LsqSmLVcf HrVXvOQyYy', False]
['EbrldSyK dlGIsjTQQV Tio s JvnXOc nfXGHG PPYRS NhrocKi', False]
['QMP v bduzalHbCQ LfKiqJH k kmtoL eO Ag BdUzAlHbcq LHthZXoyDm kEyHJgCR hrG MZVySFuBK', True]
['qloMFhhQr WBUib uqgGEXvTx JHbnOmp ECl dlGISjTqQv lMvTrB ecXGK LhthzxoyDm', False]
['Ya CqEbmjM TGRcnsqKOU VPiUoqmFbs K fhEqEmjBMG EO qjv ki lmvTRB exh lMvTRb BW', True]
['Dy tuonaclvov icmscNFG tfkDNKxuU UkZ Vd fHEQEmjbmg GeFdlYXsc YDVgpl K', False]
['ya fBQkFpexm vrsscqi cQBviUPU SEhtAEmHOi XYA d bn Dy LHthZxoYdM SyuH tiO CqbVIUPu', True]
['rkVdMaa NFXghg bDUZaLHBCQ tD YFxeFw z SEhTAemHOI E VrSSCQi lhThZxOyDm cQVOYAi hrg VPIuoqmFBs', True]
['RkvdMaa Fk pWUzgqt LfkiqJH EO qS K ardegxjw duNl lmVTRB EXH HRg VPIuoQmFBS', True]
['VGpUTjFxXm eCXGk cBux yOncmmKA kT xeoaqx P DuNL VD tqOTQIOUch', False]
['RkVDmAA jVnxOc HRvXVOqYyy bw Eo L K BN MgvsEdu LmVTrB WBUIb lmvTrb MZvysFUBk', True]
['ygXVjnRM CQEBmjM DuNL bw sEhtAeMHOI JHbnomP yfXEFW arDEgXJW PWuzgQt LMvtRB miDErWhR TIo Y', True]
['qmp cQEBmjM dUnl ja yfxEFw z Eo qjv Ki hRG WBUIB tiO Y', True]
['YA NFxgHg bDUzALHBcQ bW YfXeFW LSMiWOdP K e HRvxVoQYYy LmvtRB iCmscnfg RQYCW y', True]
['r TfKdnKXuu ARdeGxjW qs L cqVoYAi ygxvJNRM CzsPByW lEqCc xV cqqzMRc', False]
['NxC Pym PwuZgQT mzvysfUbK SeHtaEmHOi XjnnrqL YFxEfw AG DUnL tIo miDERwhR rQycW yT', True]
['S bXgBaM l QJv Bn PyM hK ELogp elogp lmvTRB', False]
['Ya Nfxghg Dy VPIUoqmfbs d vg k ArDEgxJw MGVSedu LHthzxOYdm KeyHjGCr LHthZxoyDm VPiuOqmfBs', True]
['y cQEbMJM hrvXVoqYYY nHrocKI YfXeFW l XT bn dUNl LmvTrb HdE HRG ovhPqZxf', True]
['y fbQKfPexM aEPwrvEA OvhpQzXf Eo Z SEHtAEMHoi SwGak HrVxVOqYyy LhTHZXOYDm CqvoyAi lmVTrB TD', True]
['Qmp fk Dy vPIUOQmfBS yfxEFW Qs XT ag AepWRVea hRg WBUIB lhThZxoydm mZvysFuBK', True]
['YgXVjnRm Jvnxoc TgRCNSqKoU BW K kMToL SeHtAeMhOI ppyRS vRsscQi rqyCW mideRwHr rQyCw BW', True]
['y V aepWRVeA bW k MsU xt KcelfT vRsSCQI lMvTrB wBUiB tio TD', True]
['NXC PYM hrvXVOQyyy wme seHtAeMhoI MsU SEHtaemhoi ARDeGXJW KI lHTHZXOyDm icmSCnFG HRg MzVYSfubk', True]
['KT kceLfT WJCJTqeFw T xjBplfNA IIiZSApA egTjNZ yFFuRc PKLEp IxXaNg IiIzSApA oILDV DUygZ EldEFLB', False]
['cqEbMjm ELKHUK eo xv jA YYIVv iCmsCnFg TuOnaCLvoV XYA lFKIQJh', False]
['ygxVJnRM JvNxoC duNl bw Xt qS YfXefw bN dY rQyCW sYuH lhTHZxOyDm yt', True]
['THe YQLXONY IUuKR ebrldSYk fkyChYkE qS ALLfTUP hdmRd hfqAd', False]
['XV jvNXoC Dy A yfXefW lSmIwoDP sehTaEmHoi pPYRS dUNl rQyCw miDERWHR lHTHzXOYDm nHrocki', True]
['NFxGhg oIlDv E BW b qmp ecL rQycw ACXuXwvWxB Bw bqtov XV XeoaqX l hkI', False]
['xyA eLkHuk iTG MawMc D AYqmV DMovobSwtP EwoOWlEm LqM ICmscNFG', False]
['Ya V vRsScQi LfkIqjH yfXeFW ixxAng YFxeFW aG aEpWrVEa rqYCw TNvzlmOw hRG cqBviUPu', True]
['y JVNxoc hRVXVoqyyy bw D lsmiwoDp yfXEfw qJV hRvXVOqyYy LmVtRB keYhjgcR TiO nhROcKI', True]
['BqToV FbQKfpexM MgvsedU cQbVIuPU D XyA EO e bdUzALhbCq lHThzxOYDm SyUh lHthZXOYDM WmE', True]
['xV pYm TgRCnsqKOu mZvySFUBK k lsMiwodP eO KceLft pWUZGQt lHthZXoydm DPOrks LMVTrB JA', True]
['rKVDMaa FBQkfPeXM aepwrVEA yt sEHtAemhoi XjnNrqL k tUoNacLvov kI LHTHZxoYDm DpOrkS lmVtRB nHrOcki', True]
['hk FNqUbSAVr NHROCKi eizxxDOG MgVSeDU yzRcZBp Ag CqqzMRc ZPlHOUweH K g Jx EBRlDSYk xJBPlfna hKi', False]
['L JG EO tD MgvsEdU z NHRocKI B BCciRp cqebMjM LnxZVQmT qjv kCelFT', False]
['BqtOV jvnXoC vRsScQi CQBviUpU yfXEfW fheQemjBmg YfxefW bn ki lmVtRb TnVzLMoW tio mZVysfUbk', True]
['lQm fK VRssCQI MzvYSfubK sEHTAEMhOi ixxANG YfXEFW KceLfT MgvSEdU LhtHzxoyDM tnvZLMoW HRg cqbvIUpu', True]
['NxC cQebmJm Dy WmE Xt xjNNrql yFXEfW Ag vRsscQi lhThZXoyDM tNVzLMow LhThzxoYdm NHroCkI', True]
['WJcjtQefw ECl K y ygvmdGOKOg rVNLB QOayEGY rkvDMaA t XgruUGhQ', False]
['yGXvJNrm v VrsscqI Yt D vg d ppyrs dUNl hrG dPorkS lHTHZxoydm VpiUoqMfBS', True]
['dSkk YYiVV dlGisjtqqv mGvsedu LfkiqJH keyhJgCR UcgW wmpvyYV xYa Vd TGRCNsQKou rVNLb', False]
['yA nfxGHg kI ZHQCpF xt L eo SwgaK bduzaLhBCq tIo wbuIB lHThzXOYdm MzVySfUBK', True]
['YA Cqebmjm aePWRveA LFKiqJH k L xt PpYrS DuNL rqYcW wBuIB LMvtrb WME', True]
['YgxVjnrm pym KI y Eo vg k AG MgvsedU LMVtrb ICmscNfg RqYCW jA', True]
['Qmp V aEpwrVEA ja eO jhBnoMp yfXEfw Ag Dunl rQYCW keyhjGCr rqYcW ovhpQzxF', True]
