['FfD', ['ZjlzJp', ['qqgsyZnnsZ'], ['qqgsyZnnsZ'], ['FfD']], ['JoxfYdgSu', ['qqgsyZnnsZ'], ['CGlr'], ['CGlr']]]
{'CGlr': ['dnFmuZTR', 'WMLmDfhIFK', 'm', 'qRGJj', 'LNGzQRzoqM', 'HX', 'vYR', 'TrNj', 'cKHvIBwA', 'eIDTUGbbp', 'Sghvba', 'mXUCp', 'ozCIIlSNJW', 'YuZEo', 'mioOdq'], 'qqgsyZnnsZ': ['KLG', 'DCfpJoU'], 'druMElE': ['KtNaMdWFg', 'stt', 'VILeJF', 'V', 'hmp', 'bwcnn', 'xZGucrb', 'winKUQYzv', 'FLIRJdA', 'pcrPJmftgT', 'uLxTeNYH', 'XCcxdkpqRH', 'WKgnbYZ', 'Ms'], 'DB': ['w', 'zAvGxWjbY', 'dXrDyEnArZ', 'UvygPvF', 'kQNbloOU', 'jhYuS', 'dvZdIZfIx', 'SKFecN', 'PX', 'AecWm', 'mwekSf', 'hbJiGWAC', 'wG', 'KD', 'HNinklj', 'dWSec'], 'JoxfYdgSu': ['OfqN', 'qmIvUFG', 'XrTihEYx', 'mCYHp', 'n', 'Ado', 'R', 'P', 'Y', 'Gv', 'W', 'bPc', 'zpehNTYP', 'tsGLVNPvL', 'E', 'QXC'], 'hnoZTaP': ['imclgeeONx', 'iqPsIk', 'wz', 'oLXbRfaOVl', 'dyznHxb', 'iiBYvm', 'UISPfgE', 'iiZoPlr', 'gntUyCQxE', 'djqH', 'DwNpyBOji', 'HGwAxOJ', 'igAskYkMv'], 'U': ['lpwaZuYly', 'dTYEI', 'ofwKK', 'Apllph', 'KULrvSJ', 'Flxsgb', 'L', 'BKbw', 'nKnjw', 'EfRpNF', 'zvgu'], 'qgj': ['wwFpdlAJ', 'MMnP', 'l'], 'ZjlzJp': ['nXO', 'IqiYJsVDuP', 'IXHVmT', 'bWJmSnws', 'lNDFgP', 'cnFQ', 'DnEwaAwIs', 'vyIvHDmg', 'cxMMXXWLQ', 'kBaMpyejTg', 'WyW', 'rLjchkPpjv', 'DrRidS', 'keKGVkB', 'UROY', 'psvbpxyme'], 'FfD': ['JN', 'pG']}
100
['iqPSIk vYR sGhvba oFWKk ms iIbyVM', False]
['dCfpJOU DCFpjou pG DcfPJou CKHvibwA ozCiILsnjW', True]
['dcfpJou KLG PG klg OZcIiLSNjW ckhViBWa', True]
['xRtiheYx SghVbA P gNTUYCQxE N tSGlVnpvl', False]
['dcfpJou klg Jn DcfpjoU WmlmdfhifK yUzEO', True]
['KLG kLg pg dCfPJoU LngZqrZOQm CKhviBwA', True]
['Klg DCFPjou Pg KlG QRGjJ YUZeo', True]
['dcfPjOU DCFPjoU Jn DcFPJOu LNgZQrZoQM m', True]
['W pSvBpXYME PG drRIDS KekGvKB BkbW ZvgU', False]
['kLg DCFPJoU Pg KLg sGHvba cKHVIBWA', True]
['dcFPJOu dCFpjoU jn kLG vyR hx', True]
['bKBw dNFmUZTr mCYHP iQpSiK psvBPxyME VyR oFWKK sKfEcN', False]
['KLG Klg jn DcFpJoU WMlMdFhIFK dNFMuZTr', True]
['VyIVHDmG IiBYvm KLG DwnPyBOji miOODQ VYiVHDMG r dCFpJoU GV', False]
['KlG dCFpJou pG DcfPJoU DnFMuZTr LnGzQRzOqM', True]
['DCFPJou dCFPJOU jN KLg qrGjJ MxUCp', True]
['ZpehNtyp fLXSgb kBamPYEjtG xzgucRB ZpEHnTYp hbjiGwAC PX w LNGZqrZOQm zAvGxwjby', False]
['e BWJMSNws OzcIIlSnJW trnJ lNGzqRzOQM NkNjW', False]
['aPLLPh Y N dYznhxb aDO e cNFq', False]
['klg Klg jN klg QRGJJ eIDTUGbbp', True]
['DCFpJOu Klg JN KlG trnJ lNGZqrZoQM', True]
['dcfPJoU KLG jn KlG vYR EidtUGBbp', True]
['wmLMdFhIfK P DnewAAwiS stt sTT', False]
['gv EIdtUGbBP e Kd P ofQn xzGucrB cKhVIbwA', False]
['klG kLG Pg klG dnfMUZTR CkHvIBwA', True]
['klG kLG pg klg mxUCP dNfmuZtR', True]
['DcFpJoU KLg JN DCfpJOu EidTuGbbP qRgJJ', True]
['klG DcFpJoU jN klg TrNj hX', True]
['iiBYVm UIsPFGE e fLxSGb wmLMDFhIfK Wg w kqnblOou DWsEC', False]
['KlG klG jN KlG LNgzQrZOqM CKHviBwA', True]
['klG dcFPjou PG dCFPJOu mXUCP qRGJJ', True]
['DXRdyEnArz yUZEO iiZOpLr kBAMpyEJtg JN sGhVBA pCrpJMftgT DXrDYENArZ eidTUgBbP', False]
['DcFPJOU dCfPJOU Jn DCFPjoU TrNj OzcIIlSNjw', True]
['klG dcFPjoU jN klG oZCiiLsNJw MxucP', True]
['KlG dCfPjou pG DCfpJou QRGjj WmLmdFHifk', True]
['KlG KlG jN klG wMlMDFhiFk TRNj', True]
['Klg Klg jN dcfpjou DNfmUZTr SGhVbA', True]
['TRnj stt vYiVhdMg DcfpJOU XCCxdkpqRH PcRpJMFtGT', False]
['DcfpJou kLG JN DcFPjOU M Hx', True]
['KLg dCfPjou Jn kLg MIoODq M', True]
['aDo', False]
['klG kLG jN dcfpjOu VYR qrgJJ', True]
['KLG kLg jN KLg mxucP lNgZQRzOQM', True]
['YuzEO', False]
['KLG DCFPjOu PG DCfPJOu OzCiilSnjw hX', True]
['e', False]
['DcfPjOu klg pg klg YUzeO TRnj', True]
['dcfPjoU KLG pG Klg HX vYr', True]
['dcFpjou DcfpJOu pG KLg WmlmdfhIfk Trnj', True]
['DCFPJOU KLG PG klG wmLMdfhifK VYr', True]
['KLg klg PG KLg CKhViBwA HX', True]
['Klg klG jN DcFPJoU YUZeo oZciILsnJW', True]
['kD fLIRJdA mWeKSf DTyEI v ViLeJf', False]
['DcFpJoU Klg jN DCfPjOu YuzEo LNGzqrzoqm', True]
['KlG KLg pG DCfPjoU ckhvIbWA VyR', True]
['ofqN DyZNHXB dNEwaaWis OFqN e dCfpjOu yuZEo skFecN gntuYcQxE', False]
['DCFpJOU KLG jn dCfpJOU miOodQ mXUCP', True]
['klg kLg pG Klg CkhvIBwa ozCIiLSNjw', True]
['DCFpjOU DcFPjoU Jn dcfPJOu m hx', True]
['dcfpJOu DcfpjOU Jn dcFPJoU cKHvibwA vyr', True]
['kLg KLg pG kLg yuzeo LnGzQRZoQM', True]
['Klg DcFpJOu jn DCFPjoU hX WmlmDfHifk', True]
['klG kLg JN klg CkHVIBwa M', True]
['KlG kLG pg klG lNgzqRZoQM SGhvba', True]
['dCFpJoU KLG pg klG YUzeo mIoODQ', True]
['KLg klG PG DCfpjoU LNgZQrZoQm wMLMDfhiFK', True]
['dcfPjou KLg jN kLG M HX', True]
