['YCuWYDrzmv', ['TtVDwZMuwM', ['aaLjvng'], ['l']], ['BVHsDwrKzM', ['l'], ['p']], ['fXpqEf', ['yV'], ['aaLjvng'], ['YCuWYDrzmv']]]
{'YCuWYDrzmv': ['JQPYXttz', 'MruP', 'jqOJpay', 'wRZOSWkv', 'dIJyrkmmX', 'HDrmyrFgtH', 'QeEH'], 'TtVDwZMuwM': ['a', 'dtBLNn', 'HJuwFk', 'KoVB', 'fsbl', 'lypEXtYw', 'U', 'SlzFtriifE', 'J', 'RGLX', 'AwkEHuX'], 'KjpZuNC': ['SHeYNQ', 'EjFZJMZph'], 'h': ['qq', 'lJZVmOMQA', 'lBFcYUa'], 'l': ['Du', 'ieMXLMC', 'GBVZOUD', 'mUuZ', 'HYltI'], 'aaLjvng': ['KYasiiHF', 'LCCJH', 'PuQxGkOY', 'd', 'HqQWyV', 'gtTc', 'TOMd', 'KkxG', 'BIymYrVT', 'ykiCLkDFJy', 'ig', 'uynCD'], 'p': ['BSCHukKUDw', 'tqIteZ', 'KmUdOQmbJi', 'cvC', 'Lm', 'AdTrXGhEXu', 'YT', 'RD', 'zEgZoHVLG', 'TwO', 'HZQDqB'], 'pCde': ['WThdtmIg', 'SYUToiFk', 'dvg', 'wDzux', 'usjvjk'], 'BVHsDwrKzM': ['KErM', 'XhkH', 'spwnUkaj'], 'fXpqEf': ['KWHficjcr', 'mHBgYWgyRA', 'azXd', 'jcKv'], 'yV': ['FzMwZLNK', 'k', 'HkTAUSbsE', 'aRuYRk']}
100
['j kKXG zEgzoHvLG hdRmYrfgTH', False]
['hqqwYv GBvZOud IemXlmc adTrXGHEXU aRuYRK kkXg HDrmYRFGTH', True]
['D mUuZ DU bsChUkkudw FzMWZLnk uYnCD jqOjpAy', True]
['HqQwyV muUz dU KmUDoQMBjI HKTaUSbsE BiyMYrvt DijYrKmmx', True]
['yKiClkdFjY bsCHuKkudw Fsbl QeEH RGlX dijYrKmmX WdZUx', False]
['GtTc K xhKh hjUwfK', False]
['iemxlMc YT hdrmyrfgTh MrUP SpwNUkaJ yT SyUtoIfk AzXd', False]
['D Muuz iEmXlMc cvC AruYRk UyNCD jQPYxTtz', True]
['GTTc gbVZoUD hYLti AdTRXGHEXu fzMwzLNk kYAsIIhF DiJyrKmMx', True]
['biYMYRvt iEmXLMc mUUZ bSCHukKuDW arUyrk ig wRZOSWkV', True]
['BiyMYrvt MUUz iEmxLMC CvC hKtAUsbse PuqXgkoY dIjyRKMMX', True]
['arUYRk LBFCYUA mhbgywGyRa Dvg', False]
['MUuZ AZxd TqITEz KeRM ShEyNq U QEeh ig bsCHuKKUdw SHeyNq', False]
['BiymYrvt dU gbvZOUD TqITEz k biymYrvt hdrmYRFGTh', True]
['UyNCd HyLti dU BSChukKUDW fZMwzlNK D MRUp', True]
['HQQWYv usjVjk sLZFTRiIfe Ig sPWNUkaJ GbvZoud awKehuX jQOJPaY HdrmyrFGTh hJuwfK qq', False]
['AWKehux JCKV YKIclkdFjy aDTrxgheXU HJuWfK WtHdtmIg KoVb', False]
['JqpYxTtz PuqxGkoy rD SYUTOIFK', False]
['hylTi kkxg fZMWzLNk FzMwzLNk ADtRxghEXu TOMD yt', False]
['biYMYRVT dU Gbvzoud bSCHuKKuDw arUYrK pUQxGKOy QEeh', True]
['ig MuUZ HYLtI tWO K hqQwyv JqpYXtTZ', True]
['lm ARUyrK lJzvmOmqA hYLti Ig JCkv hjuwfK iG', False]
['JqPYXtTZ cVC a LJZVmOMQa', False]
['D GbvzoUD muuz adTRxGHexu FZMWZlnk YKICLkdFJY JQoJPaY', True]
['D mUUz gbvZoUD AdTRXghEXU hktaUsbsE IG wRzOSWkV', True]
['PuqxGKoY HyLTi muUz TQitEZ aruyRk biYMyRVt HDrmyrfgTh', True]
['kkxg wRzOsWKV A uYncD UYncD hKtaUSBse a rglx JQojpay ARuYrK', False]
['tomD MuuZ gBvZOUD tWo aRUyrK LCCjH JQPyXTTz', True]
['kkxg ieMXLMC Du tqitez Aruyrk iG dijyrkmmX', True]
['KKXg hYLTi IeMxlmc zeGZohvLg hKtAUsBSE PUqXgKoY qEeH', True]
['kwHficjCr JQoJpAy XhKh yt SpwNuKAj', False]
['SlZfTrIIfE SYUtoIfk MrUP HzqDQB d xhKh HYlTI KoVb', False]
['HqQWYv du MUUZ bschuKKUDw aRUYRk D QEeH', True]
